Date,Temperature,Humidity,Co2_levels,Location,Wind_speed,Rainfall,Pressure,Day,Month,Year,Day_of_Week,Is_Rainy,Feels_Hot,High_CO2,Humidity_Level
3/12/2024,32.6,74,417,Karachi,10,0,1003,12,3,2024,1,0,1,1,Moderate
3/13/2024,27.9,85,415.3,Karachi,6,0.3,1010,13,3,2024,2,1,0,1,High
3/14/2024,32.7,82,411.5,Karachi,10,0.2,1014,14,3,2024,3,1,1,0,High
3/15/2024,20.1,85,413.7,Karachi,17,0.1,1012,15,3,2024,4,1,0,0,High
3/16/2024,30.5,78,417.5,Karachi,15,0.1,1015,16,3,2024,5,1,1,1,Moderate
3/17/2024,28.3,77,419,Karachi,12,0,1008,17,3,2024,6,0,0,1,Moderate
3/18/2024,27.1,75,414,Karachi,10,0.1,1010,18,3,2024,0,1,0,0,Moderate
3/19/2024,28.3,82,414.3,Karachi,13,0.1,1010,19,3,2024,1,1,0,0,High
3/20/2024,22,75,414.5,Karachi,10,0.1,1011,20,3,2024,2,1,0,0,Moderate
3/21/2024,27.3,89,415.8,Karachi,18,0,1012,21,3,2024,3,0,0,1,High
3/22/2024,29.1,73,413.3,Karachi,7,0.3,1015,22,3,2024,4,1,0,0,Moderate
3/23/2024,32.4,81,406.3,Karachi,13,0.2,1016,23,3,2024,5,1,1,0,High
3/24/2024,26.4,88,418.6,Karachi,14,0.2,1015,24,3,2024,6,1,0,1,High
3/25/2024,25.6,83,420.4,Karachi,19,0,1012,25,3,2024,0,0,0,1,High
3/26/2024,26.5,81,413.2,Karachi,9,0,1009,26,3,2024,1,0,0,0,High
3/27/2024,30.7,75,411.8,Karachi,10,0.1,1011,27,3,2024,2,1,1,0,Moderate
3/28/2024,29,73,414.6,Karachi,8,0.2,1012,28,3,2024,3,1,0,0,Moderate
3/29/2024,26.4,84,414.4,Karachi,7,0.3,1010,29,3,2024,4,1,0,0,High
3/30/2024,29.5,88,418,Karachi,14,0,1007,30,3,2024,5,0,0,1,High
3/31/2024,28.3,78,415.2,Karachi,18,0.1,1009,31,3,2024,6,1,0,1,Moderate
4/1/2024,30.9,74,412.6,Karachi,9,0.1,1013,1,4,2024,0,1,1,0,Moderate
4/2/2024,25.9,68,411,Karachi,16,0,1009,2,4,2024,1,0,0,0,Moderate
4/3/2024,27,75,417.6,Karachi,7,0.1,1010,3,4,2024,2,1,0,1,Moderate
4/4/2024,26.8,79,416.8,Karachi,17,0,1010,4,4,2024,3,0,0,1,Moderate
4/5/2024,23.6,88,418.2,Karachi,6,0.1,1007,5,4,2024,4,1,0,1,High
4/6/2024,28.9,83,412.1,Karachi,19,0.2,1009,6,4,2024,5,1,0,0,High
4/7/2024,28.8,82,420.5,Karachi,10,0.2,1009,7,4,2024,6,1,0,1,High
4/8/2024,28,78,409.8,Karachi,18,0.1,1008,8,4,2024,0,1,0,0,Moderate
4/9/2024,27.3,77,417.1,Karachi,12,0,1007,9,4,2024,1,0,0,1,Moderate
4/10/2024,23.8,87,409.3,Karachi,18,0.1,1010,10,4,2024,2,1,0,0,High
4/11/2024,26.7,81,412.6,Karachi,7,0.2,1012,11,4,2024,3,1,0,0,High
4/12/2024,27,69,419.7,Karachi,10,0.1,1013,12,4,2024,4,1,0,1,Moderate
4/13/2024,25.6,77,417.5,Karachi,15,0.1,1006,13,4,2024,5,1,0,1,Moderate
4/14/2024,27.5,76,413.4,Karachi,18,0.3,1015,14,4,2024,6,1,0,0,Moderate
4/15/2024,29.2,77,413.4,Karachi,13,0.2,1011,15,4,2024,0,1,0,0,Moderate
4/16/2024,33.7,83,415.3,Karachi,19,0.2,1007,16,4,2024,1,1,1,1,High
4/17/2024,28.5,79,416.5,Karachi,18,0.2,1009,17,4,2024,2,1,0,1,Moderate
4/18/2024,28.8,80,418.8,Karachi,5,0.1,1004,18,4,2024,3,1,0,1,Moderate
4/19/2024,27.8,87,413.6,Karachi,7,0.2,1005,19,4,2024,4,1,0,0,High
4/20/2024,22.2,77,410.2,Karachi,17,0.1,1015,20,4,2024,5,1,0,0,Moderate
4/21/2024,27.9,89,415.5,Karachi,6,0,1008,21,4,2024,6,0,0,1,High
4/22/2024,28.2,77,413.6,Karachi,16,0.1,1012,22,4,2024,0,1,0,0,Moderate
4/23/2024,35.4,80,411.1,Karachi,12,0.1,1010,23,4,2024,1,1,1,0,Moderate
4/24/2024,27.4,79,415.9,Karachi,13,0,1010,24,4,2024,2,0,0,1,Moderate
4/25/2024,28.9,81,414.4,Karachi,14,0.4,1011,25,4,2024,3,1,0,0,High
4/26/2024,27.9,82,415.9,Karachi,10,0,1004,26,4,2024,4,0,0,1,High
4/27/2024,24.5,82,412.3,Karachi,7,0.3,1014,27,4,2024,5,1,0,0,High
4/28/2024,31.4,76,416.5,Karachi,14,0,1010,28,4,2024,6,0,1,1,Moderate
4/29/2024,30.3,74,411,Karachi,12,0,1008,29,4,2024,0,0,1,0,Moderate
4/30/2024,30.4,93,412.5,Karachi,14,0.1,1011,30,4,2024,1,1,1,0,High
5/1/2024,25.3,78,414.3,Karachi,19,0.1,1008,1,5,2024,2,1,0,0,Moderate
5/2/2024,32.2,83,420.2,Karachi,11,0,1011,2,5,2024,3,0,1,1,High
5/3/2024,23.8,72,417.4,Karachi,18,0.4,1010,3,5,2024,4,1,0,1,Moderate
5/4/2024,29.8,79,418.2,Karachi,6,0.1,1012,4,5,2024,5,1,0,1,Moderate
5/5/2024,34.6,79,419.3,Karachi,15,0.2,1009,5,5,2024,6,1,1,1,Moderate
5/6/2024,25,82,425.8,Karachi,11,0,1007,6,5,2024,0,0,0,1,High
5/7/2024,26.3,66,415.1,Karachi,5,0.1,1011,7,5,2024,1,1,0,1,Moderate
5/8/2024,28.3,81,419.3,Karachi,12,0.3,1009,8,5,2024,2,1,0,1,High
5/9/2024,26.5,74,418,Karachi,16,0,1005,9,5,2024,3,0,0,1,Moderate
5/10/2024,23.3,82,418,Karachi,9,0,1011,10,5,2024,4,0,0,1,High
5/11/2024,28.2,75,420.3,Karachi,13,0.1,1008,11,5,2024,5,1,0,1,Moderate
5/12/2024,24.8,76,413.7,Karachi,16,0.3,1011,12,5,2024,6,1,0,0,Moderate
5/13/2024,29.4,79,413.5,Karachi,15,0.1,1007,13,5,2024,0,1,0,0,Moderate
5/14/2024,25.2,75,416,Karachi,16,0.1,1006,14,5,2024,1,1,0,1,Moderate
5/15/2024,32.6,78,414.5,Karachi,7,0.1,1014,15,5,2024,2,1,1,0,Moderate
5/16/2024,25.7,74,416,Karachi,16,0.3,1013,16,5,2024,3,1,0,1,Moderate
5/17/2024,27,71,419.7,Karachi,11,0,1010,17,5,2024,4,0,0,1,Moderate
5/18/2024,30.4,85,413.6,Karachi,12,0,1011,18,5,2024,5,0,1,0,High
5/19/2024,24.3,74,414.1,Karachi,5,0,1012,19,5,2024,6,0,0,0,Moderate
5/20/2024,28.7,79,415.5,Karachi,18,0,1010,20,5,2024,0,0,0,1,Moderate
5/21/2024,31.9,84,414.3,Karachi,10,0,1006,21,5,2024,1,0,1,0,High
5/22/2024,23.2,77,409.3,Karachi,18,0,1011,22,5,2024,2,0,0,0,Moderate
5/23/2024,28.6,76,413.3,Karachi,15,0.1,1013,23,5,2024,3,1,0,0,Moderate
5/24/2024,28.8,81,417.1,Karachi,6,0,1012,24,5,2024,4,0,0,1,High
5/25/2024,30.3,86,419.3,Karachi,12,0.1,1010,25,5,2024,5,1,1,1,High
5/26/2024,24.3,74,411.5,Karachi,10,0.3,1012,26,5,2024,6,1,0,0,Moderate
5/27/2024,24,79,411.5,Karachi,15,0,1009,27,5,2024,0,0,0,0,Moderate
5/28/2024,29.6,71,415.1,Karachi,19,0,1013,28,5,2024,1,0,0,1,Moderate
5/29/2024,28.9,78,408.8,Karachi,15,0,1014,29,5,2024,2,0,0,0,Moderate
5/30/2024,28.8,80,413.7,Karachi,16,0.1,1006,30,5,2024,3,1,0,0,Moderate
5/31/2024,29,76,409.8,Karachi,7,0.1,1013,31,5,2024,4,1,0,0,Moderate
6/1/2024,26,78,419.1,Karachi,8,0.2,1017,1,6,2024,5,1,0,1,Moderate
6/2/2024,28.7,73,412.7,Karachi,11,0.1,1012,2,6,2024,6,1,0,0,Moderate
6/3/2024,28.9,80,420,Karachi,13,0.2,1013,3,6,2024,0,1,0,1,Moderate
6/4/2024,25.9,85,418.3,Karachi,15,0.2,1008,4,6,2024,1,1,0,1,High
6/5/2024,33.6,75,413.1,Karachi,14,0,1008,5,6,2024,2,0,1,0,Moderate
6/6/2024,29.4,77,411.8,Karachi,6,0,1009,6,6,2024,3,0,0,0,Moderate
6/7/2024,24.4,83,414.4,Karachi,13,0.1,1009,7,6,2024,4,1,0,0,High
6/8/2024,30,86,414.7,Karachi,19,0.4,1006,8,6,2024,5,1,0,0,High
6/9/2024,25.1,73,416,Karachi,10,0,1009,9,6,2024,6,0,0,1,Moderate
6/10/2024,30.4,79,412.7,Karachi,6,0,1013,10,6,2024,0,0,1,0,Moderate
6/11/2024,31.5,81,417.2,Karachi,12,0.2,1006,11,6,2024,1,1,1,1,High
6/12/2024,25.5,79,415.8,Karachi,8,0,1011,12,6,2024,2,0,0,1,Moderate
6/13/2024,30.9,68,414,Karachi,15,0.1,1010,13,6,2024,3,1,1,0,Moderate
6/14/2024,29.2,83,412.9,Karachi,17,0,1009,14,6,2024,4,0,0,0,High
6/15/2024,30.5,88,414.4,Karachi,19,0,1011,15,6,2024,5,0,1,0,High
6/16/2024,33.7,81,412.5,Karachi,12,0.1,1011,16,6,2024,6,1,1,0,High
6/17/2024,27.3,75,415.2,Karachi,15,0.1,1009,17,6,2024,0,1,0,1,Moderate
6/18/2024,25.7,77,415.3,Karachi,11,0,1013,18,6,2024,1,0,0,1,Moderate
6/19/2024,25.3,89,415.8,Karachi,11,0.1,1012,19,6,2024,2,1,0,1,High
6/20/2024,25.6,85,420.3,Karachi,15,0,1015,20,6,2024,3,0,0,1,High
6/21/2024,27.8,83,414.6,Karachi,17,0.1,1010,21,6,2024,4,1,0,0,High
6/22/2024,29,82,418,Karachi,18,0,1009,22,6,2024,5,0,0,1,High
6/23/2024,28.8,77,415.7,Karachi,11,0.1,1009,23,6,2024,6,1,0,1,Moderate
6/24/2024,30.5,79,414.3,Karachi,6,0.2,1014,24,6,2024,0,1,1,0,Moderate
6/25/2024,28,80,414.6,Karachi,12,0,1010,25,6,2024,1,0,0,0,Moderate
6/26/2024,32.4,83,414.8,Karachi,6,0,1010,26,6,2024,2,0,1,0,High
6/27/2024,27.2,88,415.8,Karachi,7,0.2,1016,27,6,2024,3,1,0,1,High
6/28/2024,36.2,86,412.1,Karachi,14,0.1,1006,28,6,2024,4,1,1,0,High
6/29/2024,29.9,73,410.6,Karachi,11,0.1,1011,29,6,2024,5,1,0,0,Moderate
6/30/2024,25.4,81,417,Karachi,11,0,1010,30,6,2024,6,0,0,1,High
7/1/2024,24.8,84,417.7,Karachi,16,0.5,1009,1,7,2024,0,1,0,1,High
7/2/2024,29.4,83,417.2,Karachi,11,0.3,1007,2,7,2024,1,1,0,1,High
7/3/2024,27.3,77,415.5,Karachi,8,0,1008,3,7,2024,2,0,0,1,Moderate
7/4/2024,30.1,95,417.3,Karachi,9,0.1,1009,4,7,2024,3,1,1,1,High
7/5/2024,29.4,74,417.1,Karachi,11,0.2,1011,5,7,2024,4,1,0,1,Moderate
7/6/2024,27.8,75,417.4,Karachi,12,0.1,1013,6,7,2024,5,1,0,1,Moderate
7/7/2024,25.5,81,412.4,Karachi,7,0.1,1005,7,7,2024,6,1,0,0,High
7/8/2024,23.5,91,411.7,Karachi,10,0,1006,8,7,2024,0,0,0,0,High
7/9/2024,26.7,76,413.8,Karachi,16,0,1012,9,7,2024,1,0,0,0,Moderate
7/10/2024,30.6,79,414.9,Karachi,13,0.2,1012,10,7,2024,2,1,1,0,Moderate
7/11/2024,28.6,85,414.3,Karachi,14,0.1,1006,11,7,2024,3,1,0,0,High
7/12/2024,24.3,80,409.4,Karachi,18,0.1,1013,12,7,2024,4,1,0,0,Moderate
7/13/2024,28.5,78,420.2,Karachi,15,0,1010,13,7,2024,5,0,0,1,Moderate
7/14/2024,29.2,83,414.2,Karachi,16,0.2,1012,14,7,2024,6,1,0,0,High
7/15/2024,25.3,81,415.5,Karachi,9,0.2,1007,15,7,2024,0,1,0,1,High
7/16/2024,28.5,85,418.7,Karachi,8,0.1,1006,16,7,2024,1,1,0,1,High
7/17/2024,28.2,86,408,Karachi,13,0.2,1009,17,7,2024,2,1,0,0,High
7/18/2024,24.6,82,413.5,Karachi,8,0,1009,18,7,2024,3,0,0,0,High
7/19/2024,29.1,81,413.8,Karachi,7,0.2,1009,19,7,2024,4,1,0,0,High
7/20/2024,29.7,81,414,Karachi,17,0.1,1009,20,7,2024,5,1,0,0,High
7/21/2024,31.2,82,414.5,Karachi,11,0,1015,21,7,2024,6,0,1,0,High
7/22/2024,31.2,80,419.3,Karachi,9,0,1005,22,7,2024,0,0,1,1,Moderate
7/23/2024,23.9,80,417,Karachi,5,0,1007,23,7,2024,1,0,0,1,Moderate
7/24/2024,25.2,86,417.9,Karachi,12,0.2,1009,24,7,2024,2,1,0,1,High
7/25/2024,29.5,88,415.1,Karachi,15,0.2,1010,25,7,2024,3,1,0,1,High
7/26/2024,29.5,72,410.8,Karachi,5,0.1,1012,26,7,2024,4,1,0,0,Moderate
7/27/2024,29.5,80,408.8,Karachi,13,0,1013,27,7,2024,5,0,0,0,Moderate
7/28/2024,39.6,77,410.4,Karachi,5,0.3,1013,28,7,2024,6,1,1,0,Moderate
7/29/2024,29.7,78,416.1,Karachi,8,0,1011,29,7,2024,0,0,0,1,Moderate
7/30/2024,31.4,82,415.1,Karachi,14,0.1,1005,30,7,2024,1,1,1,1,High
7/31/2024,30.9,83,414.4,Karachi,8,0.2,1005,31,7,2024,2,1,1,0,High
8/1/2024,30,79,413.9,Karachi,15,0,1013,1,8,2024,3,0,0,0,Moderate
8/2/2024,27.1,70,421,Karachi,18,0.1,1013,2,8,2024,4,1,0,1,Moderate
8/3/2024,30.3,75,412.5,Karachi,13,0,1012,3,8,2024,5,0,1,0,Moderate
8/4/2024,25.7,84,417.8,Karachi,5,0,1008,4,8,2024,6,0,0,1,High
8/5/2024,27.3,66,415,Karachi,14,0.1,1009,5,8,2024,0,1,0,0,Moderate
8/6/2024,26.5,86,414.8,Karachi,17,0,1009,6,8,2024,1,0,0,0,High
8/7/2024,28.2,83,418.5,Karachi,13,0.1,1007,7,8,2024,2,1,0,1,High
8/8/2024,34.9,87,419.4,Karachi,8,0,1011,8,8,2024,3,0,1,1,High
8/9/2024,22.4,79,414.3,Karachi,11,0.1,1016,9,8,2024,4,1,0,0,Moderate
8/10/2024,30.1,70,417.4,Karachi,13,0,1009,10,8,2024,5,0,1,1,Moderate
8/11/2024,23.2,82,416.1,Karachi,15,0.1,1014,11,8,2024,6,1,0,1,High
8/12/2024,26.6,86,415,Karachi,11,0,1007,12,8,2024,0,0,0,0,High
8/13/2024,31.3,85,415.6,Karachi,6,0.2,1005,13,8,2024,1,1,1,1,High
8/14/2024,28.2,77,412.9,Karachi,10,0.1,1013,14,8,2024,2,1,0,0,Moderate
8/15/2024,24.8,80,414.1,Karachi,17,0.1,1009,15,8,2024,3,1,0,0,Moderate
8/16/2024,25.9,77,413.3,Karachi,10,0.2,1014,16,8,2024,4,1,0,0,Moderate
8/17/2024,30,76,417.7,Karachi,7,0,1014,17,8,2024,5,0,0,1,Moderate
8/18/2024,25.8,85,414.7,Karachi,8,0,1009,18,8,2024,6,0,0,0,High
8/19/2024,28.6,74,411.1,Karachi,10,0,1014,19,8,2024,0,0,0,0,Moderate
8/20/2024,28.1,76,412.8,Karachi,15,0,1007,20,8,2024,1,0,0,0,Moderate
8/21/2024,26,74,405.4,Karachi,10,0.4,1007,21,8,2024,2,1,0,0,Moderate
8/22/2024,34.4,73,413.5,Karachi,5,0,1013,22,8,2024,3,0,1,0,Moderate
8/23/2024,29.9,81,415.1,Karachi,14,0.2,1005,23,8,2024,4,1,0,1,High
8/24/2024,21.9,86,414.6,Karachi,12,0.1,1010,24,8,2024,5,1,0,0,High
8/25/2024,28.6,79,420.9,Karachi,13,0,1014,25,8,2024,6,0,0,1,Moderate
8/26/2024,26,72,416.7,Karachi,6,0.3,1014,26,8,2024,0,1,0,1,Moderate
8/27/2024,30.6,84,416.6,Karachi,8,0.4,1009,27,8,2024,1,1,1,1,High
8/28/2024,25.6,88,410.1,Karachi,15,0.3,1013,28,8,2024,2,1,0,0,High
8/29/2024,27.7,77,413.9,Karachi,10,0.1,1007,29,8,2024,3,1,0,0,Moderate
8/30/2024,29.5,78,413.5,Karachi,6,0,1008,30,8,2024,4,0,0,0,Moderate
8/31/2024,30.6,83,412.6,Karachi,15,0,1011,31,8,2024,5,0,1,0,High
9/1/2024,24.4,88,412.6,Karachi,11,0.1,1011,1,9,2024,6,1,0,0,High
9/2/2024,27,77,409.6,Karachi,10,0,1007,2,9,2024,0,0,0,0,Moderate
9/3/2024,26.6,73,411.2,Karachi,12,0.1,1016,3,9,2024,1,1,0,0,Moderate
9/4/2024,26,83,417.6,Karachi,19,0.2,1004,4,9,2024,2,1,0,1,High
9/5/2024,33.3,84,414.6,Karachi,11,0,1010,5,9,2024,3,0,1,0,High
9/6/2024,29.2,80,413.5,Karachi,14,0.1,1011,6,9,2024,4,1,0,0,Moderate
9/7/2024,24.2,77,415,Karachi,5,0.3,1005,7,9,2024,5,1,0,0,Moderate
9/8/2024,30.8,85,418.5,Karachi,14,0,1014,8,9,2024,6,0,1,1,High
9/9/2024,34.4,83,415,Karachi,14,0,1008,9,9,2024,0,0,1,0,High
9/10/2024,31.1,76,416.6,Karachi,9,0,1010,10,9,2024,1,0,1,1,Moderate
9/11/2024,23.4,80,412.5,Karachi,10,0,1011,11,9,2024,2,0,0,0,Moderate
9/12/2024,26.5,73,413.1,Karachi,18,0,1006,12,9,2024,3,0,0,0,Moderate
9/13/2024,31.8,83,416.1,Karachi,11,0,1007,13,9,2024,4,0,1,1,High
9/14/2024,25.9,79,420.7,Karachi,8,0,1015,14,9,2024,5,0,0,1,Moderate
9/15/2024,29.3,78,419.3,Karachi,18,0.1,1010,15,9,2024,6,1,0,1,Moderate
9/16/2024,30.3,80,416.7,Karachi,13,0,1002,16,9,2024,0,0,1,1,Moderate
9/17/2024,25.2,80,415.5,Karachi,5,0,1009,17,9,2024,1,0,0,1,Moderate
9/18/2024,27.8,84,419.2,Karachi,7,0.2,1010,18,9,2024,2,1,0,1,High
9/19/2024,18.3,83,417.4,Karachi,14,0.1,1011,19,9,2024,3,1,0,1,High
9/20/2024,24.9,79,408.1,Karachi,6,0,1004,20,9,2024,4,0,0,0,Moderate
9/21/2024,27.2,84,411.8,Karachi,18,0.2,1010,21,9,2024,5,1,0,0,High
9/22/2024,24.3,82,416,Karachi,6,0,1008,22,9,2024,6,0,0,1,High
9/23/2024,32.9,78,409.6,Karachi,5,0,1011,23,9,2024,0,0,1,0,Moderate
9/24/2024,23.7,79,412.3,Karachi,17,0.2,1012,24,9,2024,1,1,0,0,Moderate
9/25/2024,26.7,79,412.9,Karachi,7,0,1011,25,9,2024,2,0,0,0,Moderate
9/26/2024,28.4,83,414.2,Karachi,14,0.2,1014,26,9,2024,3,1,0,0,High
9/27/2024,32.3,78,414.1,Karachi,9,0.2,1017,27,9,2024,4,1,1,0,Moderate
9/28/2024,23.7,78,414.1,Karachi,10,0,1007,28,9,2024,5,0,0,0,Moderate
9/29/2024,31.5,90,417.5,Karachi,12,0,1009,29,9,2024,6,0,1,1,High
9/30/2024,28,85,414.2,Karachi,8,0,1012,30,9,2024,0,0,0,0,High
10/1/2024,25.1,76,413.8,Karachi,5,0,1010,1,10,2024,1,0,0,0,Moderate
10/2/2024,29.4,83,411,Karachi,16,0.2,1002,2,10,2024,2,1,0,0,High
10/3/2024,28.6,81,418.1,Karachi,13,0.1,1009,3,10,2024,3,1,0,1,High
10/4/2024,26.2,82,413,Karachi,7,0,1014,4,10,2024,4,0,0,0,High
10/5/2024,28.2,81,411.7,Karachi,12,0.1,1006,5,10,2024,5,1,0,0,High
10/6/2024,26.8,86,415.6,Karachi,18,0,1011,6,10,2024,6,0,0,1,High
10/7/2024,28.3,82,412.7,Karachi,8,0,1004,7,10,2024,0,0,0,0,High
10/8/2024,30,80,413.4,Karachi,15,0,1013,8,10,2024,1,0,0,0,Moderate
10/9/2024,32.8,85,415.8,Karachi,19,0.1,1011,9,10,2024,2,1,1,1,High
10/10/2024,24.3,81,414,Karachi,19,0,1008,10,10,2024,3,0,0,0,High
10/11/2024,34.4,81,421.9,Karachi,7,0.1,1009,11,10,2024,4,1,1,1,High
10/12/2024,22.1,82,414.8,Karachi,7,0,1006,12,10,2024,5,0,0,0,High
